id,kind,text,ts_utc,cwd,git_branch,git_head
cr-qkwt,what,cleanup done: csv only,2026-02-08T18:37:18.325Z,.,,
cr-mjvu,why,decision: remove sql migration and artifacts,2026-02-08T18:37:18.365Z,.,,
cr-9l31,what,"Store is CSV-only: memories.csv, links.csv, handoffs.csv",2026-02-08T18:39:15.127Z,.,,
cr-97so,why,Dropped SQL migration paths to keep startup predictable and avoid hidden reimports,2026-02-08T18:39:15.167Z,.,,
cr-05zh,what,Memory IDs are random base36 like cr-8n2y; handoff IDs are hf-xxxx,2026-02-08T18:39:15.207Z,.,,
cr-e6d6,why,"IDs are non-sequential; ordering comes from ts_utc, not identifier",2026-02-08T18:39:15.250Z,.,,
cr-031o,what,cr handoff defaults to open latest checkpoint; mark is explicit,2026-02-08T18:39:15.289Z,.,,
cr-ul2w,what,handoff mark blocks if no new memories since previous checkpoint,2026-02-08T18:39:15.327Z,.,,
cr-d04l,what,First handoff scope is bounded by --window when enough history exists,2026-02-08T18:39:15.365Z,.,,
cr-xwm0,what,handoff open prints instructions plus checkpoint slice newest->oldest,2026-02-08T18:39:15.405Z,.,,
cr-zv6w,what,next: spin up a fresh agent and run cr handoff open --limit 20,2026-02-08T18:39:15.445Z,.,,
cr-qv0a,what,tmp-link-check-a,2026-02-08T18:49:17.659Z,.,,
cr-ocv2,why,tmp-link-check-b,2026-02-08T18:49:17.726Z,.,,
cr-otht,what,CLI uses clap for argument parsing,2026-02-08T19:17:34.234Z,.,,
cr-udp3,why,clap provides type-safe CLI with great help messages,2026-02-08T19:17:34.269Z,.,,
cr-cq12,what,Memory limit is 100 chars to keep things atomic,2026-02-08T19:17:34.318Z,.,,
cr-0jx2,why,Short memories are easier for agents to scan and understand,2026-02-08T19:17:34.348Z,.,,
cr-zqsx,what,Testing stdin input works great,2026-02-08T19:17:47.255Z,.,,
